prod_id,product_name,category,subCategory,price,description,avgRating,ratingCount
"69242ca7eddd458d1f519430","Atomic Habits","Books","Self Help",499,"Bestselling self-help book by James Clear focused on habit-building and personal growth.",3.09300833867864,3118
"69242d1feddd458d1f519432","Rich Dad Poor Dad","Books","Finance",500,"Personal finance classic by Robert Kiyosaki explaining money mindset and financial literacy.",1.6519021739130435,1840
"69242f3ce865298abb12bc13","The Psychology of Money","Books","Finance",449,"A bestselling finance book by Morgan Housel focusing on human behavior and money management.",2.006424104604889,1759
"69242fc9e865298abb12bc16","Ikigai: The Japanese Secret to a Long and Happy Life","Books","Self Help",299,"A motivational book exploring the Japanese concept of finding purpose and joy.",4.078477690288714,2286
"69243032e865298abb12bc18","The Alchemist","Books","Fiction",339,"A philosophical novel by Paulo Coelho about following one’s dreams and destiny.",4.628166226912929,1516
"692430cce865298abb12bc1a","Think and Grow Rich","Books","Self Help",299,"Napoleon Hill’s classic guide to achieving success through mindset and discipline.",2.3074967405475877,1534
"69243130e865298abb12bc1c","Wings of Fire","Books","Biography",398,"Autobiography of A.P.J. Abdul Kalam, detailing his life journey and achievements.",1.3903133903133904,1755
"6924317ee865298abb12bc1e","The Intelligent Investor","Books","Finance",801,"Benjamin Graham’s classic book on value investing and long-term financial strategies.",4.355588972431078,1995
"692431bfe865298abb12bc20","A Million Thoughts","Books","Spirituality",350,"A meditation and mindfulness guide written by Om Swami.",1.9745406824146983,1143
"69243205e865298abb12bc22","Sapiens: A Brief History of Humankind","Books","History",899,"Yuval Noah Harari’s acclaimed book exploring human evolution and civilization.",3.7106194690265486,1243
"69243284e865298abb12bc24","Lego Classic Creative Brick Set","Toys","Building Sets",2499,"A creative building block set with 500+ colorful Lego bricks for kids.",3.1712306438467808,1227
"692432dfe865298abb12bc26","Hot Wheels Car Pack","Toys","Vehicles",499,"Set of 5 die-cast Hot Wheels cars ideal for racing and collecting.",3.3552523874488407,1466
"69243365e865298abb12bc2c","Barbie Fashion Doll","Toys","Dolls",896,"Stylish Barbie doll with fashionable outfit and accessories.",3.668191414496833,1421
"692433b6e865298abb12bc2e","Nerf N-Strike Elite Blaster","Toys","Action Toys",1999,"High-performance Nerf blaster with soft foam darts for action play.",4.1120677966101695,1475
"69243417e865298abb12bc31","Rubik's Cube 3x3","Toys","Puzzle Toys",300,"Classic 3x3 Rubik’s Cube puzzle for brain training and fun.",3.811913357400722,1662
"69243466e865298abb12bc33","Remote Control Monster Truck","Toys","Remote Control Toys",1599,"High-speed remote control monster truck with shock absorbers and durable tires.",4.576735459662289,1599
"692434ace865298abb12bc35","Stuffed Teddy Bear","Toys","Soft Toys",399,"Soft and cuddly teddy bear stuffed toy perfect for kids and gifting.",3.2957186544342507,981
"6924351de865298abb12bc37","Magnetic Building Tiles Set","Toys","Educational Toys",1696,"Colorful magnetic tiles for creative building and STEM learning.",2.924168912848158,1113
"69243599e865298abb12bc39","Kids Kitchen Play Set","Toys","Pretend Play",899,"Mini kitchen set with toy utensils and food items for pretend play.",4.355639730639731,1188
"69243612e865298abb12bc3b","Jigsaw Puzzle 1000 Pieces","Toys","Puzzle Toys",499,"Beautiful 1000-piece jigsaw puzzle suitable for adults and kids.",3.3841592201462225,1231
"69243cd6e865298abb12bc3d","Stainless Steel Water Bottle","Home & Kitchen","Kitchenware",349,"Durable stainless steel bottle that keeps drinks hot or cold for hours.",2.927047146401985,1209
