user_id,prod_id,rating
686b7806ca1c58462be90444,69243dc4e865298abb12bc43,3.2
686b7806ca1c58462be90444,69244b91b7fb27683d01c66d,2.5
686b7806ca1c58462be90444,6924586422280aa81104f533,2.4
686b7806ca1c58462be90444,69243130e865298abb12bc1c,1.9
686b7806ca1c58462be90444,69244b4d22280aa81104f501,2.9
686b7806ca1c58462be90444,69244409e865298abb12bc4f,4.2
686b7806ca1c58462be90444,69243466e865298abb12bc33,4.3
686b7806ca1c58462be90444,69244da022280aa81104f507,1.1
686b7806ca1c58462be90444,69243284e865298abb12bc24,3.8
686b7806ca1c58462be90444,69244358e865298abb12bc4b,2.5
686b7806ca1c58462be90444,69244fe122280aa81104f511,4.1
686b7806ca1c58462be90444,69242fc9e865298abb12bc16,3.3
686b7806ca1c58462be90444,692455df22280aa81104f529,2.5
686b7806ca1c58462be90444,69242f3ce865298abb12bc13,3
686b7806ca1c58462be90444,692442fde865298abb12bc49,1
686b7806ca1c58462be90444,69243dc4e865298abb12bc43,4.2
686b7806ca1c58462be90444,6924351de865298abb12bc37,3.7
686b7806ca1c58462be90444,692433b6e865298abb12bc2e,3.4
686b7806ca1c58462be90444,69244aedb7fb27683d01c669,5
686b7806ca1c58462be90444,69243284e865298abb12bc24,2.9
686b7806ca1c58462be90444,69244be6b7fb27683d01c66f,4.7
686b7806ca1c58462be90444,6924542822280aa81104f521,3.1
686b7806ca1c58462be90444,69244c42b7fb27683d01c671,4.1
686b7806ca1c58462be90444,69244e7222280aa81104f50b,3.1
686b7806ca1c58462be90444,69244bfe22280aa81104f503,1.2
686b7806ca1c58462be90444,69244da022280aa81104f507,2.7
686b7806ca1c58462be90444,69244b4d22280aa81104f501,2.8
686b7806ca1c58462be90444,69242f3ce865298abb12bc13,1.8
686b7806ca1c58462be90444,69244dff22280aa81104f509,3
686b7806ca1c58462be90444,69243d21e865298abb12bc3f,2.5
686b7806ca1c58462be90444,692443aae865298abb12bc4d,4.1
686b7806ca1c58462be90444,69243466e865298abb12bc33,3.9
686b7806ca1c58462be90444,69242f3ce865298abb12bc13,2
686b7806ca1c58462be90444,69244f3622280aa81104f50f,1.6
686b7806ca1c58462be90444,69244da022280aa81104f507,1.1
686b7806ca1c58462be90444,69242fc9e865298abb12bc16,3.8
686b7806ca1c58462be90444,692442fde865298abb12bc49,1.8
686b7806ca1c58462be90444,69243d21e865298abb12bc3f,3.8
686b7806ca1c58462be90444,6924577a22280aa81104f52f,2.2
686b7806ca1c58462be90444,6924542822280aa81104f521,4.5
686b7806ca1c58462be90444,69244bfe22280aa81104f503,1.6
686b7806ca1c58462be90444,69244409e865298abb12bc4f,3.4
686b7806ca1c58462be90444,69242d1feddd458d1f519432,2.6
686b7806ca1c58462be90444,69244be6b7fb27683d01c66f,4.9
686b7806ca1c58462be90444,69243466e865298abb12bc33,3.9
686b7806ca1c58462be90444,69243d70e865298abb12bc41,4.3
686b7806ca1c58462be90444,692432dfe865298abb12bc26,2.4
686b7806ca1c58462be90444,69244b46b7fb27683d01c66b,3.5
686b7806ca1c58462be90444,69244be6b7fb27683d01c66f,4.4
686b7806ca1c58462be90444,69244c42b7fb27683d01c671,4.3
686b7806ca1c58462be90444,69244aedb7fb27683d01c669,4.5
686b7806ca1c58462be90444,692442bee865298abb12bc47,1.1
686b7806ca1c58462be90444,69244da022280aa81104f507,1.1
686b7806ca1c58462be90444,69243cd6e865298abb12bc3d,2.5
686b7806ca1c58462be90444,69243612e865298abb12bc3b,2.6
686b7806ca1c58462be90444,69243205e865298abb12bc22,3.8
686b7806ca1c58462be90444,69243417e865298abb12bc31,4.4
686b7806ca1c58462be90444,6924519a22280aa81104f517,4.4
686b7806ca1c58462be90444,6924549e22280aa81104f523,3.8
686b7806ca1c58462be90444,6924535122280aa81104f51d,4.4
686b7806ca1c58462be90444,6924505222280aa81104f513,1
686b7806ca1c58462be90444,69244bfe22280aa81104f503,1.4
686b7806ca1c58462be90444,6924550e22280aa81104f525,1
686b7806ca1c58462be90444,69244d3822280aa81104f505,4.2
686b7806ca1c58462be90444,692457e322280aa81104f531,1.3
686b7806ca1c58462be90444,69244d5db7fb27683d01c67b,1.1
686b7806ca1c58462be90444,6924550e22280aa81104f525,1.6
686b7806ca1c58462be90444,6924535122280aa81104f51d,3.7
686b7806ca1c58462be90444,692450a922280aa81104f515,3.2
686b7806ca1c58462be90444,6924542822280aa81104f521,3.9
686b7806ca1c58462be90444,69242ca7eddd458d1f519430,2.7
686b7806ca1c58462be90444,69243284e865298abb12bc24,3
686b7806ca1c58462be90444,69242f3ce865298abb12bc13,1.2
686b7806ca1c58462be90444,69245a8922280aa81104f53b,3.9
686b7806ca1c58462be90444,69244d9cb7fb27683d01c67d,4.5
686b7806ca1c58462be90444,69244c42b7fb27683d01c671,3.9
686b7806ca1c58462be90444,6924535122280aa81104f51d,4.3
686b7806ca1c58462be90444,692450a922280aa81104f515,2.6
686b7806ca1c58462be90444,69243466e865298abb12bc33,5
